Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
36:03.0,0.0247,0.0586,-0.9179,0.0202,-0.037,-0.0144,0.0114,-0.0434,-0.3675,,,0,296.804,0,Automotive,High
36:03.1,0.0331,0.0317,-1.0559,0.015,0.0066,-0.0072,0.0125,-0.0409,-0.3684,,,0,296.804,0,Automotive,High
36:03.2,0.0164,0.037,-1.0197,-0.0004,0.0072,-0.0438,0.013,-0.0395,-0.3687,,,0,296.804,0,Automotive,High
36:03.3,0.0285,0.033,-1.0194,0.0237,0.0483,0.0013,0.0149,-0.0361,-0.3702,,,0,296.804,0,Automotive,High
36:03.4,0.0084,0.0337,-1.0544,0.0372,0.0772,-0.005,0.0178,-0.0356,-0.3686,,,0,296.804,0,Automotive,High
36:03.5,-0.0101,0.0109,-1.0129,-0.0009,-0.0043,-0.0032,0.0187,-0.0337,-0.3684,,,0,296.804,0,Automotive,High
36:03.6,-0.0046,0.0293,-1.0222,0.0084,0.0682,-0.0012,0.0184,-0.0326,-0.3687,,,0,296.804,0,Automotive,High
36:03.7,0.0232,0.0162,-1.0333,0.0286,0.0175,-0.0038,0.0253,-0.03,-0.3686,,,0,296.804,0,Automotive,High
36:03.8,0.0353,0.0269,-1.0407,0.0029,0.0234,-0.0043,0.0269,-0.029,-0.3685,,,0,296.804,0,Automotive,High
36:03.9,0.0096,0.0232,-1.0202,0.0232,0.0259,-0.0082,0.0265,-0.0288,-0.3685,,,0,296.804,0,Automotive,High
36:04.0,0.0055,0.0089,-1.0624,-0.0118,0.0093,-0.0056,0.0272,-0.027,-0.3707,,,0,296.804,0,Automotive,High
36:04.1,0.0078,0.0199,-1.0253,0.0037,0.0341,-0.0011,0.03,-0.0267,-0.371,,,0,296.804,0,Automotive,High
36:04.2,0.0369,0.0494,-1.0308,0.0018,0.0417,0.0319,0.0339,-0.0258,-0.3706,,,0,296.804,0,Automotive,High
36:04.3,0.0199,0.0113,-0.995,-0.0177,-0.0152,-0.0098,0.0338,-0.0249,-0.3693,,,0,296.804,0,Automotive,High
36:04.4,0.0365,0.0267,-1.0273,-0.0186,0.0263,-0.0026,0.0336,-0.024,-0.3695,,,0,296.804,0,Automotive,High
36:04.5,0.0233,0.009,-0.9686,-0.0082,-0.0098,-0.0108,0.0341,-0.0242,-0.3702,,,0,296.804,0,Automotive,High
36:04.6,0.029,0.0444,-1.0431,-0.0016,-0.0213,-0.0063,0.033,-0.0228,-0.3702,,,0,296.804,0,Automotive,Low
36:04.7,0.0528,0.0263,-0.9828,-0.0204,-0.0239,-0.0312,0.0303,-0.0223,-0.3709,,,0,296.804,0,Automotive,Low
36:04.8,0.0483,0.0127,-1.0018,-0.0206,-0.0344,-0.0087,0.0296,-0.0215,-0.3712,,,0,296.804,0,Automotive,Low
36:04.9,0.0301,0.0008,-1.0226,0.0065,-0.0041,-0.0009,0.0276,-0.0208,-0.3712,,,0,296.804,0,Automotive,Low
36:05.0,0.0119,0.0134,-0.9911,-0.0007,-0.0202,0.0011,0.0267,-0.0198,-0.3711,,,0,296.804,0,Automotive,Low
36:05.1,0.006,0.0264,-1.0876,0.0179,-0.0412,-0.0006,0.022,-0.0201,-0.3707,,,0,296.804,0,Automotive,Low
36:05.2,0.0018,0,-1.0746,0.0072,-0.0403,-0.0008,0.019,-0.0199,-0.3709,,,0,296.804,0,Automotive,Low
36:05.3,0.0402,0.0117,-1.1188,0.0486,-0.0183,-0.0066,0.0163,-0.02,-0.3708,,,0,296.804,0,Automotive,Low
36:05.4,0.0198,-0.0058,-1.0296,-0.0011,0.0074,-0.0043,0.015,-0.0204,-0.3709,,,0,296.804,0,Automotive,Low
36:05.5,0.0477,0.0014,-1.1465,0.0365,-0.0516,-0.013,0.013,-0.0193,-0.3715,,,0,296.804,0,Automotive,Low
36:05.6,0.0116,0.0264,-1.1573,0.0268,-0.0094,-0.0528,0.0108,-0.0182,-0.3732,,,0,296.804,0,Automotive,Low
36:05.7,-0.044,0.0269,-1.1447,0.0273,-0.0134,-0.0155,0.0103,-0.0188,-0.3736,,,0,296.804,0,Automotive,Low
36:05.8,-0.0149,0.0092,-1.1318,-0.0003,0.0181,-0.0033,0.0091,-0.0172,-0.3759,,,0,296.804,0,Automotive,Low
36:05.9,-0.0027,-0.0066,-1.1664,0.005,0.0245,-0.0054,0.0107,-0.0176,-0.3758,,,0,296.804,0,Automotive,High
36:06.0,-0.0038,0.0118,-1.1406,-0.0395,-0.0039,0.0025,0.0119,-0.0182,-0.3745,,,0,296.804,0,Automotive,High
36:06.1,0.0198,0.0234,-1.0054,-0.0181,-0.0046,0.0008,0.0121,-0.0201,-0.3739,,,0,296.804,0,Automotive,High
36:06.2,0.0517,0.0161,-1.0162,-0.0403,-0.0103,-0.006,0.0142,-0.0216,-0.3727,,,0,296.804,0,Automotive,High
36:06.3,0.0085,0.0262,-0.8983,-0.0544,-0.0084,-0.0009,0.013,-0.0222,-0.3716,,,0,296.804,0,Automotive,High
36:06.4,0.0913,0.025,-0.9782,-0.0333,0.0175,-0.0071,0.0177,-0.0277,-0.3679,,,0,296.804,0,Automotive,High
36:06.5,0.0743,0.0184,-0.9763,0.0022,0.0138,-0.016,0.0125,-0.0304,-0.3697,,,0,296.804,0,Automotive,High
36:06.6,0.0331,0.0149,-0.8577,-0.0449,-0.0625,0.0016,0.0203,-0.0321,-0.3687,,,0,296.804,0,Automotive,High
36:06.7,0.0186,0.0311,-0.8956,0.001,-0.0053,0.0086,0.0225,-0.0346,-0.3675,,,0,296.804,0,Automotive,High
36:06.8,0.1157,0.0158,-0.8123,-0.0406,0.0184,-0.0179,0.0214,-0.0363,-0.3653,,,0,296.804,0,Automotive,High
36:06.9,-0.0078,0.0312,-0.8764,-0.0232,-0.0111,-0.0057,0.019,-0.0365,-0.3661,,,0,296.804,0,Automotive,High
36:07.0,0.0948,0.0107,-0.8926,0.0309,0.0686,-0.0051,0.0197,-0.0374,-0.3663,,,0,296.804,0,Automotive,High
36:07.1,0.0543,0.0072,-0.9949,0.0054,0.0086,-0.0095,0.024,-0.0376,-0.3658,,,0,296.804,0,Automotive,High
36:07.2,-0.0044,0.0133,-0.8989,0.0085,0.0023,0.0012,0.0267,-0.0362,-0.3646,,,0,296.804,0,Automotive,High
36:07.3,0.0247,0.0451,-0.9866,0.0098,0.0033,-0.0137,0.0242,-0.0336,-0.3665,,,0,296.804,0,Automotive,High
36:07.4,0.0211,-0.0081,-0.979,-0.0174,-0.0005,-0.0387,0.0233,-0.0331,-0.3681,,,0,296.804,0,Automotive,High
36:07.5,0.0272,0.031,-0.9758,-0.0035,0.0244,-0.0076,0.0245,-0.0327,-0.3684,,,0,296.804,0,Automotive,High
36:07.6,0.0256,0.0217,-0.985,0.0159,0.0151,-0.0094,0.0243,-0.0309,-0.3685,,,0,296.804,0,Automotive,High
36:07.7,-0.006,0.0417,-0.9211,-0.0224,0.0123,-0.0132,0.0237,-0.0292,-0.3689,,,0,296.804,0,Automotive,High
36:07.8,0.0092,0.0294,-0.94,-0.0109,0.0126,-0.0013,0.0232,-0.0282,-0.369,,,0,296.804,0,Automotive,High
36:07.9,0.0495,-0.005,-1.0234,0.0099,-0.0031,-0.0137,0.026,-0.027,-0.3679,,,0,296.804,0,Automotive,High
