Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
07:06.5,0.1194,0.0336,-1.0509,-0.012,0.0263,-0.0142,0.1026,-0.0209,-2.5528,,,0,64.5906,0,Automotive,High
07:06.6,0.0963,0.0348,-1.0343,-0.0179,0.0348,0.007,0.1049,-0.0221,-2.5548,,,0,64.5906,0,Automotive,High
07:06.7,0.0593,0.0231,-1.0034,-0.0169,-0.016,0.0617,0.1063,-0.0248,-2.5512,,,0,64.5906,0,Automotive,High
07:06.8,0.0447,0.0118,-0.9816,-0.0174,0.0284,-0.0132,0.1037,-0.0247,-2.5476,,,0,64.5906,0,Automotive,High
07:06.9,0.0851,0.0389,-1.0111,-0.0074,0.0176,-0.0781,0.1032,-0.0257,-2.5498,,,0,64.5906,0,Automotive,High
07:07.0,0.0668,0.0596,-1.0062,-0.0246,0.0393,0.0752,0.1029,-0.0262,-2.5517,,,0,64.5906,0,Automotive,High
07:07.1,0.0585,0.0257,-0.972,-0.0086,0.0274,-0.0237,0.1008,-0.0263,-2.5485,,,0,64.5906,0,Automotive,High
07:07.2,0.0574,0.0611,-0.9746,-0.021,-0.0089,-0.0131,0.0995,-0.0278,-2.5514,,,0,64.5906,0,Automotive,High
07:07.3,0.0563,0.0241,-0.9988,-0.0147,0.0029,-0.0184,0.0968,-0.0277,-2.5506,,,0,64.5906,0,Automotive,High
07:07.4,0.0891,0.0298,-0.9941,-0.0152,-0.0463,-0.0545,0.0935,-0.0275,-2.5494,,,0,64.5906,0,Automotive,High
07:07.5,0.0613,0.0272,-0.9807,-0.0078,-0.0607,0.0215,0.0907,-0.0274,-2.5534,,,0,64.5906,0,Automotive,Low
07:07.6,0.0403,0.0272,-0.9533,-0.0051,0.0073,-0.0183,0.0822,-0.0289,-2.5497,,,0,64.5906,0,Automotive,Low
07:07.7,0.1198,0.0383,-0.9985,-0.0056,-0.0045,-0.0396,0.0813,-0.0283,-2.5569,,,0,64.5906,0,Automotive,Low
07:07.8,0.0463,0.0271,-0.9895,-0.0166,0.0022,0.0851,0.0834,-0.0292,-2.5551,,,0,64.5906,0,Automotive,Low
07:07.9,0.0488,0.012,-0.9908,0.0044,0.0591,-0.1197,0.0796,-0.0285,-2.5505,,,0,64.5906,0,Automotive,Low
07:08.0,0.079,0.0306,-0.9523,-0.002,0.0013,0.0512,0.0812,-0.0291,-2.5559,,,0,64.5906,0,Automotive,Low
07:08.1,0.0708,-0.0011,-0.9672,0.0045,-0.0085,-0.0052,0.0805,-0.0283,-2.5524,,,0,64.5906,0,Automotive,Low
07:08.2,0.085,0.0545,-1.0234,0.0015,0.0095,-0.032,0.0811,-0.0282,-2.5519,,,0,64.5906,0,Automotive,Low
07:08.3,0.0614,0.0524,-1.0521,-0.0071,-0.0373,0.0171,0.0847,-0.0275,-2.5555,,,0,64.5906,0,Automotive,Low
07:08.4,0.1106,-0.0094,-0.9871,-0.0123,0.029,-0.1166,0.0835,-0.0261,-2.5519,,,0,64.5906,0,Automotive,High
07:08.5,0.1255,0.0352,-1.0562,-0.0093,-0.0172,0.001,0.0945,-0.0275,-2.562,,,0,65.6429,0,Automotive,High
07:08.6,0.0812,0.0631,-0.9974,-0.0074,0.0245,0.0296,0.0959,-0.027,-2.557,,,0,65.6429,0,Automotive,High
