Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
22:50.5,0.0727,0.0094,-0.9999,-0.0027,-0.016,-0.0096,0.0462,-0.0296,1.7903,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.6,0.0609,0.0027,-1.0298,0.0092,-0.036,0.0014,0.0471,-0.0288,1.7904,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.7,0.0265,0.0237,-0.9716,0.0038,-0.0266,-0.0073,0.0471,-0.0288,1.791,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:50.8,0.0346,-0.0062,-0.9856,0.0012,-0.0127,0.0033,0.0459,-0.0284,1.7913,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:50.9,0.0727,0.0313,-0.9707,0.0123,0.0395,-0.0085,0.0458,-0.0275,1.7919,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.0,0.0586,0.0393,-0.9925,0.0159,0.0077,-0.0019,0.0507,-0.0263,1.7919,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.1,0.0644,0.0213,-0.996,0.0145,0.0279,-0.0031,0.0543,-0.0245,1.7924,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.2,0.0729,-0.0027,-1.0401,0.0175,0.0365,-0.0009,0.0622,-0.0191,1.793,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.3,0.0518,0.0038,-1.0805,0.0251,0.027,0.0035,0.0664,-0.0163,1.7936,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.4,0.062,0.0047,-1.1162,0.0108,0.0608,-0.0086,0.0678,-0.014,1.794,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.5,0.0461,-0.0299,-1.147,0.0092,0.0151,0.0076,0.0739,-0.0122,1.794,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.6,0.0528,-0.0055,-1.1766,0.0069,0.1032,-0.0121,0.0754,-0.0103,1.7965,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
